Id,IsDeleted,MasterRecordId,AccountId,Salutation,FirstName,LastName,MiddleName,Suffix,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,EmailBouncedReason,EmailBouncedDate,Jigsaw,JigsawContactId,SmartvCard__Organization__c,qbdialer__CloseDate__c,qbdialer__CloseScore__c,qbdialer__ContactDate__c,qbdialer__ContactScoreId__c,qbdialer__ContactScore__c,qbdialer__Dials__c,qbdialer__LastCallTime__c,qbdialer__ResponseTime__c,LID__LinkedIn_Company_Id__c,LID__LinkedIn_Member_Token__c,Other_Email_s__c,Agree_to_FT_License_Agreement__c,Free_Trial_License_Key__c,Free_Trial_Project_Notes__c,Free_Trial_Start_Date__c,Free_Trial_Follow_Up_Notes__c,Free_Trial_Status__c,Signed_up_for_free_trial_on__c,Dev_Edition_Agree_to_License_Agreement__c,Dev_Edition_Date_Signed_Up__c,Free_Trial_Renewed_Date__c,zisf__Person_Has_Moved__c,zisf__ZoomInfo_Complete_Status__c,zisf__ZoomInfo_Email__c,zisf__ZoomInfo_Last_Clean_Run__c,zisf__ZoomInfo_Phone__c,zisf__Zoom_Clean_Status__c,zisf__zoom_id__c,zisf__zoom_lastupdated__c,Alternate_Email__c,LinkedIn_Profile__c,Goal_of_Developer_Edition__c,Goal_of_Developer_Edition_Other__c,Employee_Band__c,Original_Lead_Source__c,Meeting_Status__c
Samantha-Mars,,,Peer-Payments,,Samantha,Mars,,,,,,,,,,,3 Twin Dolphin Dr Suite 225,Redwood City,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Senior Architect,,,TestDrive,,,0053600000D5c3CAAR,,,,2018-08-05,,2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris-Xi,,,Lightning-Pay,,Chris,Xi,,,,,,,,,,,3 Twin Dolphin Dr Suite 225,Redwood City,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Chief Architect,,,Developer-Edition,,,,,,,2018-10-2,,2018-9-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda-Morris,,,Cash-Now,,Amanda,Morris,,,,,,,,,,,3 Twin Dolphin Dr Suite 225,Redwood City,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Data Scientist,,,Sales-Meeting,,,,,,,2018-12-15,,2019-1-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie-Denham,,,Pay-Me,,Jamie,Denham,,,,,,,,,,,3 Twin Dolphin Dr Suite 225,Redwood City,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Enterprise Architect,,,Request-Demo,,,,,,,2019-4-15,,2019-5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben-Edwards,,,Mega-Payments,,Ben,Edwards,,,,,,,,,,,3 Twin Dolphin Dr Suite 225,Redwood City,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Senior Software Engineer,,,Free-Trial,,,,,,,2019-2-24,,2019-3-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shehab-Thabet,,,Green-Backs,,Shehab,Thabet,,,,,,,,,,,3 Twin Dolphin Dr Suite 225,Redwood City,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,,,,Free-Trial,,,,,,,2019-5-30,,2019-7-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031R00001uoQr5QAE,0,,0011R00001z0X6RQAU,,?,Han,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,DEV,,,TestDrive,,,0053600000D5c3CAAR,0,0,0,2018-10-22,0053600000D5c3CAAR,2018-10-22,00536000006DZLrAAO,10/22/18 12:13,2018-10-22,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-22,,,Not Compared,,,,Not Compared,,,,,Developing a prototype for potential production use,,,,
0031R00001uoR0QQAU,0,,0011R00001z0XTpQAM,,?,Zhang,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,,,,Partner,,,0053600000D5c3CAAR,0,0,0,2018-10-22,0053600000D5c3CAAR,2018-10-22,0053600000D5c3CAAR,10/22/18 13:05,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001uoSM0QAM,0,,0013600001yymh3AAA,,?,Mouse,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,VP of Data Architecture,,,Trade Show,,,0053600000D5mROAAZ,0,0,0,2018-10-22,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,10/22/18 18:05,2018-10-22,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001uoXNjQAM,0,,0013600001kNjJSAA0,,?,Lins,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Executive Partner,,,TestDrive,,,0053600000D5bx4AAB,0,0,0,2018-10-22,0053600000D5bx4AAB,2018-10-22,0053600000D5bx4AAB,11/14/18 20:26,2018-11-14,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,linkedin.com/in/augusto-lins-92328b,,,,,
