Contact_id,source,modifiedDate,email,phone,title
Chris-Xi,Hubspot,2019-06-01,duhehllo@gmail.com,,
Chris-Xi,SalesForce,2019-06-02,,1234567890,
Chris-Xi,LinkedIn,2019-06-03,,,student
Chris-Xi,Hubspot,2019-07-01,schooledmail@school.edu,,
Chris-Xi,SalesForce,2019-08-05,,1112345678,
Chris-Xi,LinkedIn,2019-08-22,,,boss
Amanda-Morris,Hubspot,2019-05-01,amamo@gmail.com,,
Amanda-Morris,SalesForce,2019-05-03,,1111111111,
Amanda-Morris,LinkedIn,2019-05-15,,,regionalManager
Samantha-Mars,Hubspot,2019-05-14,smars@gmail.com,,
Jamie-Denham,SalesForce,2019-07-06,,1231231230,
Ben-Edwards,LinkedIn,2019-08-01,,,intern
Shehab-Thabet,LinkedIn,2019-07-01,,,intern
