id,created_date,mobile,createEpoch,email,user_account,trust_score
user1,7/13/19,(510) 378-8387,1562976000,user1@domain..com,user_account1,0.5
user2,4/12/04,(805) 447-1000,1081728000,user2@domain..com,user_account2,0.5
user3,5/10/01,3108082222,989452800,user3@domain..com,user_account3,0.5
user4,5/2/16,(650) 944-6000,1462147200,user4@domain..com,user_account4,0.5
user5,1/6/11,(480) 627-4427,1294272000,user5@domain..com,user_account5,0.5
user6,11/14/03,(405) 641-1629,1068768000,user6@domain..com,user_account6,0.5
user7,5/13/18,(800) 847-2911,1526169600,user7@domain..com,user_account7,0.5
user8,4/20/09,(319) 398-8511,1240185600,user8@domain..com,user_account8,0.5
user9,6/21/05,(212) 559-1000,1119312000,user9@domain..com,user_account9,0.5
user10,4/23/18,(713) 876-1966,1524441600,user10@domain..com,user_account10,0.5
user11,3/8/07,(647) 287-1764,1173312000,user11@domain..com,user_account11,0.5
user12,10/23/07,(720) 840-6984,1193097600,user12@domain..com,user_account12,0.5
user13,2/12/14,+91 95 60602621,1392163200,user13@domain..com,user_account13,0.5
user14,2/12/18,(917) 891-5490,1518393600,user14@domain..com,user_account14,0.5
user15,12/20/11,(973) 686-5007,1324339200,user15@domain..com,user_account15,0.5
user16,5/3/05,+1 (914) 249-5743,1115078400,user16@domain..com,user_account16,0.5
user17,2/26/16,+1 636 980 6639,1456444800,user17@domain..com,user_account17,0.5
user18,12/12/10,8.18E+11,1292112000,user18@domain..com,user_account18,0.5
user19,11/7/04,-7665,1099785600,user19@domain..com,user_account19,0.5
user20,8/6/12,+81 (80) 1182-6159,1344211200,user20@domain..com,user_account20,0.5
user21,8/5/12,+1 310 347 8902,1344124800,user21@domain..com,user_account21,0.5
user24,1/26/16,+1 (516) 423 1200,1453766400,user24@domain..com,user_account24,0.5
user25,10/7/01,+1 (650) 743-0004,1002412800,user25@domain..com,user_account25,0.5
user26,9/8/12,+1 (650) 799-7020,1347062400,user26@domain..com,user_account26,0.5
user27,12/6/17,(800) 847-2911,1512518400,user27@domain..com,user_account27,0.5
user28,6/3/12,+1 415 205-9363,1338681600,user28@domain..com,user_account28,0.5
user29,9/1/17,9.73E+11,1504224000,user29@domain..com,user_account29,0.5
user30,7/8/02,(408) 535-1500,1026086400,user30@domain..com,user_account30,0.5
user31,10/19/01,-11012,1003449600,user31@domain..com,user_account31,0.5
user32,9/24/17,(408) 535-1500,1506211200,user32@domain..com,user_account32,0.5
user33,7/22/03,(650) 944-6000,1058832000,user33@domain..com,user_account33,0.5
user34,1/14/03,(650) 506-7000,1042502400,user34@domain..com,user_account34,0.5
user35,6/14/17,(781) 494-5800,1497398400,user35@domain..com,user_account35,0.5
user36,6/23/08,(212) 897-6900,1214179200,user36@domain..com,user_account36,0.5
user37,4/3/04,(925) 283-9555,1080950400,user37@domain..com,user_account37,0.5
user38,12/27/05,(440) 352-8444,1135641600,user38@domain..com,user_account38,0.5
user39,3/10/00,(503) 790-2500,952646400,user39@domain..com,user_account39,0.5
user40,2/6/01,(800) 325-2424,981417600,user40@domain..com,user_account40,0.5
user41,6/10/12,(703) 984-8400,1339286400,user41@domain..com,user_account41,0.5
user42,7/6/16,(323) 655-5789,1467763200,user42@domain..com,user_account42,0.5
user43,11/9/04,(206) 973-5100,1099958400,user43@domain..com,user_account43,0.5
user46,3/5/07,(323) 655-5789,1173052800,user46@domain..com,user_account46,0.5
user47,8/4/05,(323) 655-5789,1123113600,user47@domain..com,user_account47,0.5
user48,1/10/12,(703) 224-1000,1326153600,user48@domain..com,user_account48,0.5
user49,6/13/18,(479) 273-4000,1528848000,user49@domain..com,user_account49,0.5
user50,2/25/12,(408) 383-9200,1330128000,user50@domain..com,user_account50,0.5
user51,10/16/16,+44 2071-665500,1476576000,user51@domain..com,user_account51,0.5
user52,4/28/07,(416) 734-1000,1177718400,user52@domain..com,user_account52,0.5
user53,7/28/03,(800) 847-2911,1059350400,user53@domain..com,user_account53,0.5
user54,10/9/18,(714) 566-1000,1539043200,user54@domain..com,user_account54,0.5
user55,5/4/06,(281) 583-4400,1146700800,user55@domain..com,user_account55,0.5
user56,7/14/14,(212) 559-1000,1405296000,user56@domain..com,user_account56,0.5
user57,5/17/01,(800) 543-3562,990057600,user57@domain..com,user_account57,0.5
user58,12/8/13,(650) 857-1501,1386460800,user58@domain..com,user_account58,0.5
