id,user,created_date,mobile,createEpoch,email,Bank,trust_score
user_account1,user1,7/13/19,(510) 378-8387,1562976000,user1@domain..com,American Express 95,0.5
user_account2,user2,4/12/04,(805) 447-1000,1081728000,user2@domain..com,BNY Mellon,0.5
user_account3,user3,5/10/01,3108082222,989452800,user3@domain..com,BBVA,0.5
user_account4,user4,5/2/16,(650) 944-6000,1462147200,user4@domain..com,American Express 95,0.5
user_account5,user5,1/6/11,(480) 627-4427,1294272000,user5@domain..com,Bank of Montreal,0.5
user_account6,user6,11/14/03,(405) 641-1629,1068768000,user6@domain..com,Bank of America,0.5
user_account7,user7,5/13/18,(800) 847-2911,1526169600,user7@domain..com,Bank of America,0.5
user_account8,user8,4/20/09,(319) 398-8511,1240185600,user8@domain..com,Bank of America,0.5
user_account9,user9,6/21/05,(212) 559-1000,1119312000,user9@domain..com,Bank of America,0.5
user_account10,user10,4/23/18,(713) 876-1966,1524441600,user10@domain..com,Bank of America,0.5
user_account11,user11,3/8/07,(647) 287-1764,1173312000,user11@domain..com,Bank of America,0.5
user_account12,user12,10/23/07,(720) 840-6984,1193097600,user12@domain..com,Bank of America,0.5
user_account13,user13,2/12/14,+91 95 60602621,1392163200,user13@domain..com,Bank of America,0.5
user_account14,user14,2/12/18,(917) 891-5490,1518393600,user14@domain..com,Bank of America,0.5
user_account15,user15,12/20/11,(973) 686-5007,1324339200,user15@domain..com,Bank of America,0.5
user_account16,user16,5/3/05,+1 (914) 249-5743,1115078400,user16@domain..com,Bank of America,0.5
user_account17,user17,2/26/16,+1 636 980 6639,1456444800,user17@domain..com,Bank of America,0.5
user_account18,user18,12/12/10,8.18E+11,1292112000,user18@domain..com,Bank of America,0.5
user_account19,user19,11/7/04,-7665,1099785600,user19@domain..com,Bank of America,0.5
user_account20,user20,8/6/12,+81 (80) 1182-6159,1344211200,user20@domain..com,Bank of America,0.5
user_account21,user21,8/5/12,+1 310 347 8902,1344124800,user21@domain..com,Bank of America,0.5
user_account24,user24,1/26/16,+1 (516) 423 1200,1453766400,user24@domain..com,BBVA,0.5
user_account25,user25,10/7/01,+1 (650) 743-0004,1002412800,user25@domain..com,BBVA,0.5
user_account26,user26,9/8/12,+1 (650) 799-7020,1347062400,user26@domain..com,BBVA,0.5
user_account27,user27,12/6/17,(800) 847-2911,1512518400,user27@domain..com,BBVA,0.5
